RGI_ID,NAME,CENLON,CENLAT,WGMS_ID
RGI50-13.08534,Manshuk Mametova,77.1,43.04,811
RGI50-13.08781,Molodezhniy,77.09,43.01,812
RGI50-13.08782,Igli Tuyuksu,77.12,43.01,816
RGI50-15.07886,Hailuogou,101.93,29.58,849
RGI50-15.03507,Ax010,86.57,27.7,906
RGI50-14.12323,Shaune Garang,78.33,31.28,1048
RGI50-02.07173,Ram River,-116.48,51.85,1394
RGI50-03.01427,Laika Glacier,-79.5,75.88,1412
RGI50-16.00543,Zongo,-68.17,-16.25,1503
RGI50-16.01447,Chacaltaya,-68.12,-16.35,1505
RGI50-16.01339,Antizana15Alpha,-78.15,-0.47,1624
RGI50-16.02444,Artesonraju,-77.62,-8.95,3292
RGI50-05.20030,Freya,-20.82,74.38,3350
RGI50-07.01100,Fridtjovbreen,14.43,77.83,3494
RGI50-14.07524,Siachen,77.04,35.47,3666
RGI50-17.11634,Amarillo,-70.0,-29.3,3905
RGI50-03.01623,St Patrick Bay Ne Ice Cap,-64.5,81.95,3908
RGI50-04.03082,Decade,-69.92,69.66,3909
RGI50-07.01107,Longyearbreen,15.5,78.2,3913
RGI50-07.00382,Daudbreen,18.5,78.1,3915
RGI50-12.01198,Kelbashi,43.05,43.07,3917
RGI50-13.28839,Gurenhekou,90.46,30.18,3978
RGI50-17.15113,Toro 1,-70.01,-29.33,3980
RGI50-17.15114,Toro 2,-70.02,-29.33,3981
RGI50-15.11962,Parlang Zangbo: Cn5O282B0012,96.9,29.3,3986
RGI50-15.11693,Parlang Zangbo: Cn5O282A1094,96.98,29.38,3987
RGI50-15.09026,Naimona Nyi,81.33,30.45,3991
RGI50-14.19543,Neh Nar,75.52,34.16,3930
RGI50-02.00974,Spider,-120.83,48.14,3941
RGI50-08.01655,Austre Memurubreen,8.5,61.55,1317
RGI50-08.00710,Blaaisen,17.85,68.33,1328
RGI50-08.01432,Bondhusbrea,6.33,60.03,318
RGI50-08.01736,Harbardsbreen,7.68,61.7,2320
RGI50-08.02379,Tunsbergdalsbreen,7.05,61.6,1316
